ranking_id,rank,country_or_item_ja,country_or_item_en,country_or_item_zh_tw,country_or_item_zh_cn,value,unit,source_year,source_name,source_url,note_ja,note_en,note_zh_tw,note_zh_cn
world_rice_production,1,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,2,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,3,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,4,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,5,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,6,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,7,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,8,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,9,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_production,10,,,,,,tonnes,,FAOSTAT,,,,,
world_rice_consumption,1,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,2,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,3,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,4,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,5,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,6,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,7,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,8,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,9,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption,10,,,,,,"1,000 tonnes",,USDA PSD Online / FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,1,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
world_rice_consumption_per_capita,2,,,,,,kg/person/year,,FAO Food Balance Sheets,,,,,
